@N: MF472 |Synthesis running in Automatic Compile Point mode
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t9[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t8[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t7[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t6[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t5[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t4[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t19[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t18[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t17[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\poly_mul.v":150:4:150:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.poly_mul_0.t16[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pvram_wen with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pvram_waddr[8:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pm_a1[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pm_a0[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram1_din3[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram1_din2[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram1_din1[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram1_din0[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram0_din3[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram0_din2[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram0_din1[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram0_din0[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":422:1:422:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_araddr[31:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":266:1:266:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_awaddr[31:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram0_wen with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pvram_din3[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pvram_din2[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pvram_din1[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pvram_din0[22:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.wr0_pwm with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.wr0_ntt0 with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.wr0_macc with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.cf_oldaddr_3[6:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":422:1:422:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_rlast with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.cf_oldaddr_2[6:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.cf_oldaddr_1[6:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.cf_oldaddr_0[6:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pm_b1[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pm_b0[45:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.pram1_wen with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":393:1:393:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_arready with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":393:1:393:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_arv_arr_flag with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":359:1:359:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_bvalid with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":233:1:233:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_awv_awr_flag with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":233:1:233:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_awready with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":504:1:504:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_rvalid with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":422:1:422:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_arlen[7:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":422:1:422:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_arburst[1:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":332:1:332:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_wready with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":266:1:266:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_awlen[7:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":266:1:266:6|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.axi_awburst[1:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"e:\mpfs_projects\dilithium_hw\hdl\core_poly.v":708:4:708:9|Found instance FIC_0_PERIPHERALS_1.Core_Poly_0.hdvec with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1837:2:1837:15|Tristate driver SLAVE31_WVALID (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WVALID (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1836:2:1836:14|Tristate driver SLAVE31_WUSER_1 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WUSER_1 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1834:2:1834:14|Tristate driver SLAVE31_WSTRB_8 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WSTRB_8 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1834:2:1834:14|Tristate driver SLAVE31_WSTRB_7 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WSTRB_7 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1834:2:1834:14|Tristate driver SLAVE31_WSTRB_6 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WSTRB_6 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1834:2:1834:14|Tristate driver SLAVE31_WSTRB_5 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WSTRB_5 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1834:2:1834:14|Tristate driver SLAVE31_WSTRB_4 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WSTRB_4 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1834:2:1834:14|Tristate driver SLAVE31_WSTRB_3 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WSTRB_3 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1834:2:1834:14|Tristate driver SLAVE31_WSTRB_2 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WSTRB_2 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: MO111 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\coreaxi4interconnect.v":1834:2:1834:14|Tristate driver SLAVE31_WSTRB_1 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) on net SLAVE31_WSTRB_1 (in view: work.COREAXI4INTERCONNECT_Z5(verilog)) has its enable tied to GND.
@N: BN115 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\axi4convertors\masterconvertor.v":637:4:637:15|Removing instance genblk2\.mstrProtConv (in view: work.caxi4interconnect_MasterConvertor_Z8(verilog)) because it does not drive other instances.
@N: BN115 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\axi4convertors\masterconvertor.v":871:4:871:10|Removing instance mstrCDC (in view: work.caxi4interconnect_MasterConvertor_Z8(verilog)) because it does not drive other instances.
@N: BN115 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\axi4convertors\masterconvertor.v":760:4:760:10|Removing instance mstrDWC (in view: work.caxi4interconnect_MasterConvertor_Z8(verilog)) because it does not drive other instances.
@N: BN115 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\axi4convertors\slvprotocolconverter.v":219:6:219:20|Removing instance genblk1\.u_SlvAxi4ReadID (in view: work.caxi4interconnect_SlvProtocolConverter_Z11(verilog)) because it does not drive other instances.
@N: BN115 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\axi4convertors\slvprotocolconverter.v":259:6:259:21|Removing instance genblk1\.u_SlvAxi4WriteID (in view: work.caxi4interconnect_SlvProtocolConverter_Z11(verilog)) because it does not drive other instances.
@N: BN362 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\axi4convertors\dwc_downconv_precalccmdfifowrctrl.v":126:2:126:7|Removing sequential instance MASTER_ALEN_out[7:0] (in view: work.caxi4interconnect_DWC_DownConv_preCalcCmdFifoWrCtrl_32s_64s_38s_1s_9s_0_3s_7s_1s(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"e:\mpfs_projects\dilithium_hw\component\actel\directcore\coreaxi4interconnect\2.8.103\rtl\vlog\core\axi4convertors\dwc_downconv_cmdfifowritectrl.v":583:3:583:8|Removing sequential instance SLAVE_AUSER[0] (in view: work.caxi4interconnect_DWC_DownConv_CmdFifoWriteCtrl_38s_9s_1s_64s_32s_46s_0_1s_0_1(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
